Source Chinese,Target English,Category,Examples,Pinyin
求告,"Request blessings, humbly invoke blessings",Terms,,
中空外直由此路，通天貫地宇宙心，本無分別是一體，天人和合志無息,"The form itself is hollow and straight,  its core joining the heavens and earth.  All was nothing; nothing was one; 'til death take my breath I remain on this path.",Aphorisms,,
無畏施,,Terms,,
光罩,"luminous carapace, covering of light/light covering",Terms,,
後心,"rear entrance to spiritual heart, back of the spiritual heart",Terms,,
收勢功法,Closing technique,Terms,,
血脈,"Ancestry, bloodline",Terms, 血脈報恩 = give thanks to our ancestors = ancestral appreciation,
靈脈,Soul Lineage,Terms,,
母光原,"Source of light, origin of light",Terms,,
法理,"Concepts, principles",Terms,,
光網,Radiant Network,Terms,,
永有,1. (v.) Connect 2. (v.) (truly) possess, have,(1.) from Margaret. Different from possessiveness.,
鎮殿之寶,A Great Treasure,Terms,,
相旋,Hands rotated,Terms,,
向心內旋,Circling Inwards Towards the Heart,Terms,,
行億,Xinyi mindful walking,Terms,,
鞠躬,Bowing,Terms,,
叩收,Koushou,Terms,,
溫熱光團,warm ball of light,Terms,,
法語,"stuff Laoshi said, transmitting an energy field,",Terms,,
和氣,1. (n.) harmonious energy 2. (n.) harmony 3. (proper n.) Hochi Practice (when referring to 和氣功/心法),Terms,在生命中修和氣 = Cultivate harmony/harmonious energies within our lives. 練和氣 = Practice Hochi. ,
和氣大愛,Hochi universal love,Terms,,
發光體,radiant light being,Terms,,
七炷香,Seven Sticks of Incense,Terms,,
金紫光大愛手,Golden-Violet Light HH,Terms,,
七彩光大愛手,Prismatic Light HH,Terms,,
導師,Instructor,Terms,,
傳導師,Director,Terms,,
見習傳導師,Associate Director,Terms,,
定點傳光,Stationary Transmission (of Light),Terms,,
大愛手印,Handprint of Universal Love,Terms,,
見性,realize true self/nature,Terms,,
傳光,"Illuminate others, transmit light",Terms,,
傳光人,Messenger(s) of Light,Terms,,
同修,"(Fellow) Practitioners, Chi-mates (colloquial)",Terms,,"Tóng xiū, tong xiu"
心手合一,heart and hand combining as one,Terms,,
老師的話,Guidance from Laoshi,Terms,,
心法,"mental cultivation practice(s)/method(s), mindsets",Terms,,
光的道路,The Luminous Path,Terms,,
萬事向外,externally oriented,Terms,,
一心向內,Wholeheartedly Turning Inwards,Terms,,
老靈魂,Venerable Soul,Terms,,
行愿,"manifestation, actualization, fulfilling purpose/goal, volunteering",Terms,,
法,"Method, teaching, guidance, practice",Terms,,
本愿,"personal goal, soul purpose, inner purpose",Terms,,
本心,"original purpose/intent, true purpose/intent",Terms,,
功法,Physical (cultivation) practice/method,Terms,,
地命,Dark side of life,Terms,,
天命,"Heavenly mandate, destiny, higher purpose(?)",Terms,,
宿命,"Original fate, pre-destined fate",Terms,,
含光量,"Light-retaining capacity, ability to hold light",Terms,,
光慈場,Energy field of compassionate light,Terms,,
慈化,Compassionately transform,Terms,,
愿力,Power of Commitment,Terms,,
法界,Realm of Enlightened Beings,Terms,,
過關,Overcome major issues,Terms,,
和氣照顧,Hochi Support,Terms,,
靈子,Spiritual child,Terms,,
